# KAPUTNIK Flight Data v5
# Sample rate: 500 Hz
# Samples: 4989
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776861866105
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776861866687832,-2021,9,-188,-128,25,17,0,0,0,0,0
1776861866689832,-2025,7,-189,-129,27,17,0,0,0,0,0
1776861866691832,-2028,9,-187,-128,27,18,0,0,0,0,0
1776861866693832,-2021,9,-178,-129,28,16,0,0,0,0,0
1776861866695832,-2018,7,-172,-128,29,14,0,0,0,0,0
1776861866697832,-2022,7,-188,-127,25,15,0,0,0,0,0
1776861866699832,-2018,3,-185,-129,24,15,0,0,0,0,0
1776861866701832,-2024,8,-194,-129,25,14,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,48,2339,6912,1272,0
1776866152552434,25,14,0,0,0,0,0,2347,7168,504,0
1776866152617969,24,16,0,0,0,0,208,2354,6400,1784,0
1776866152617969,24,15,0,0,0,0,160,2362,7680,3576,0
1776866152617964,25,14,0,0,0,0,112,2370,6400,5112,0
1776866152749032,25,16,0,0,0,0,64,2378,7168,4856,0
1776866152749025,25,18,0,0,0,0,16,2386,7936,1528,0
1776866152749031,28,17,0,0,0,0,224,2393,6912,1784,0
1776866152617961,27,17,0,0,0,0,176,2401,7936,1272,0
1776866152683496,26,16,0,0,0,0,128,2409,7168,2552,0
1776866152617962,24,15,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,29008,9,-2029,9,67,32511,6655,4352,0
1776861866105000,0,0,31008,9,-2026,13,64,32511,6655,4352,0
1776861866105000,0,0,-32528,9,-2020,11,65,32767,6655,3840,0
1776861866105000,0,0,-30528,9,-2021,5,67,-32513,6655,3840,0
1776861866105000,0,0,-28528,9,-2019,13,60,-32257,6143,4352,0
1776861866105000,0,0,-26528,9,-2017,9,58,-32257,6143,4096,0
1776861866105000,0,0,-24528,9,-2025,4,61,-32513,6655,4096,0
1776861866105000,0,0,-22528,9,-2024,6,63,32767,6655,3840,0
1776861866105000,0,0,-20528,9,-2016,7,66,-32257,6399,3840,0
1776861866105000,0,0,-18528,9,-2018,8,65,-32257,6399,4096,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866743832,-2019,11,-192,-128,23,15,0,0,0,0,0
1776861866745833,-2022,13,-189,-128,20,16,0,0,0,0,0
1776861866747833,-2022,12,-191,-129,21,18,0,0,0,0,0
1776861866749833,-2018,16,-183,-127,23,17,0,0,0,0,0
1776861866751833,-2021,9,-186,-126,24,16,0,0,0,0,0
1776861866753833,-2021,4,-199,-129,25,16,0,0,0,0,0
1776861866755833,-2023,5,-186,-128,25,16,0,0,0,0,0
1776861866757834,-2025,10,-191,-129,27,16,0,0,0,0,0
1776861866759831,-2024,9,-191,-129,28,17,0,0,0,0,0
1776861866761831,-2023,7,-198,-129,26,16,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,143,2573,6912,3064,0
1776866152749033,24,16,0,0,0,0,96,2581,6400,2552,0
1776866152749035,24,16,0,0,0,0,48,2589,5888,3064,0
1776866152683490,24,16,0,0,0,0,0,2597,6144,4088,0
1776866152749029,25,15,0,0,0,0,208,2604,5632,3832,0
1776866152749029,24,14,0,0,0,0,160,2612,6912,1528,0
1776866152683487,22,15,0,0,0,0,112,2620,7424,2296,0
1776866152814567,23,16,0,0,0,0,64,2628,6656,2552,0
1776866152880106,24,17,0,0,0,0,16,2636,4608,2552,0
1776866152814579,27,17,0,0,0,0,224,2643,5120,1784,0
1776866152814575,29,16,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,23472,10,-2028,14,67,-32257,7167,4352,0
1776861866105000,0,0,25473,10,-2024,15,66,-32257,6655,4352,0
1776861866105000,0,0,27473,10,-2018,9,65,-32257,6399,4096,0
1776861866105000,0,0,29473,10,-2020,9,66,-32257,6911,4096,0
1776861866105000,0,0,31473,10,-2021,16,67,-32513,6911,4096,0
1776861866105000,0,0,-32063,10,-2021,14,63,32511,6143,3840,0
1776861866105000,0,0,-30063,10,-2021,12,73,-32257,5887,4096,0
1776861866105000,0,0,-28063,10,-2024,9,65,-32513,6143,4352,0
1776861866105000,0,0,-26063,10,-2019,5,60,-32513,5631,4096,0
1776861866105000,0,0,-24063,10,-2019,3,53,32767,6143,4352,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866803833,-2022,7,-192,-128,23,16,0,0,0,0,0
1776861866805833,-2021,11,-196,-128,24,16,0,0,0,0,0
1776861866807833,-2023,8,-199,-129,26,16,0,0,0,0,0
1776861866809833,-2021,8,-202,-129,25,16,0,0,0,0,0
1776861866811833,-2025,10,-200,-128,24,16,0,0,0,0,0
1776861866813833,-2024,11,-187,-128,24,16,0,0,0,0,0
1776861866815833,-2022,10,-190,-129,23,15,0,0,0,0,0
1776861866817833,-2027,13,-189,-128,22,15,0,0,0,0,0
1776861866819833,-2025,14,-187,-127,21,16,0,0,0,0,0
1776861866821833,-2027,12,-194,-128,22,16,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,241,2807,6144,3064,0
1776866152683505,24,15,0,0,0,0,193,2815,6400,3064,0
1776866152749037,26,14,0,0,0,0,145,2823,6656,3576,0
1776866152749039,25,16,0,0,0,0,97,2831,6656,3064,0
1776866152617966,25,16,0,0,0,0,49,2839,5376,4344,0
1776866152617971,27,17,0,0,0,0,1,2847,6400,3576,0
1776866152683502,27,16,0,0,0,0,209,2854,5888,3576,0
1776866152749042,26,17,0,0,0,0,161,2862,6144,3576,0
1776866152683501,24,17,0,0,0,0,111,2870,7168,1784,0
1776866152749031,24,16,0,0,0,0,63,2878,6400,3064,0
1776866152683493,24,14,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,17935,11,-2025,12,56,32767,6143,3584,0
1776861866105000,0,0,19935,11,-2022,11,63,32511,6911,4096,0
1776861866105000,0,0,21935,11,-2014,15,64,-32513,6911,4096,0
1776861866105000,0,0,23935,11,-2021,17,64,-32513,6655,3840,0
1776861866105000,0,0,25935,11,-2019,15,66,-32513,6655,4096,0
1776861866105000,0,0,27935,11,-2021,9,63,32767,7423,4096,0
1776861866105000,0,0,29935,11,-2018,14,66,32255,7423,3840,0
1776861866105000,0,0,31935,11,-2024,14,67,32767,7167,4096,0
1776861866105000,0,0,-31601,11,-2020,13,62,-32257,6911,3840,0
1776861866105000,0,0,-29601,11,-2016,12,67,-32513,6911,3584,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866863831,-2021,7,-198,-127,23,14,0,0,0,0,0
1776861866913809,-2023,8,-200,-128,24,17,0,0,0,0,0
1776861866915809,-2016,4,-200,-128,21,16,0,0,0,0,0
1776861866917809,-2019,12,-203,-130,24,16,0,0,0,0,0
1776861866919809,-2021,11,-201,-130,25,17,0,0,0,0,0
1776861866921809,-2030,8,-189,-130,26,17,0,0,0,0,0
1776861866923809,-2021,11,-194,-128,27,16,0,0,0,0,0
1776861866925809,-2022,15,-188,-130,27,16,0,0,0,0,0
1776861866927809,-2019,14,-195,-130,25,15,0,0,0,0,0
1776861866929809,-2014,9,-186,-130,27,15,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,185,3229,8448,2552,0
1776866152617964,25,16,0,0,0,0,137,3237,8960,2808,0
1776866152683502,25,17,0,0,0,0,89,3245,6912,2808,0
1776866152683495,24,16,0,0,0,0,41,3253,6656,3576,0
1776866152749032,25,17,0,0,0,0,249,3260,6400,2552,0
1776866152814575,24,17,0,0,0,0,201,3268,7168,3832,0
1776866152814577,24,17,0,0,0,0,153,3276,6656,1528,0
1776866152814573,25,18,0,0,0,0,105,3284,6656,2808,0
1776866152880103,26,17,0,0,0,0,57,3292,8960,3576,0
1776866152880102,26,17,0,0,0,0,9,3300,7424,4088,0
1776866152749024,25,16,0,0,0,0,255,-1,-1,-1,255
1776866161072295,-1,-1,-5159,12,-2024,13,59,32511,6911,4352,0
1776861866105000,0,0,-3159,12,-2025,9,66,32511,6655,3840,0
1776861866105000,0,0,-1159,12,-2021,13,56,32767,6399,3840,0
1776861866105000,0,0,841,13,-2020,13,61,32767,6143,4096,0
1776861866105000,0,0,2841,13,-2023,11,65,-32513,6143,3840,0
1776861866105000,0,0,4841,13,-2022,11,63,32511,6655,4096,0
1776861866105000,0,0,6841,13,-2014,9,64,32511,6143,4096,0
1776861866105000,0,0,8841,13,-2019,4,75,-32001,6143,3840,0
1776861866105000,0,0,10841,13,-2017,7,70,-32257,5887,4352,0
1776861866105000,0,0,12841,13,-2014,8,63,-32513,6143,4352,0
1776861866105000,0,0,-1,-1,-1,-1,255,-1,-1,-1,255
1776861866971809,-2017,10,-192,-127,26,15,0,0,0,0,0
1776861866973809,-2018,12,-196,-128,26,17,0,0,0,0,0
1776861866975809,-2019,12,-184,-129,26,17,0,0,0,0,0
1776861866977809,-2019,11,-191,-129,25,16,0,0,0,0,0
1776861866979809,-2016,12,-197,-127,23,14,0,0,0,0,0
1776861866981809,-2022,9,-185,-129,24,15,0,0,0,0,0
1776861866983809,-2023,12,-202,-129,24,17,0,0,0,0,0
1776861866985809,-2026,9,-205,-128,24,16,0,0,0,0,0
1776861866987809,-2025,4,-194,-129,23,16,0,0,0,0,0
1776861866989809,-2027,10,-185,-129,24,16,0,0,0,0,0
1776866161072295,-1,-1,-1,-1,-1,-1,25,3464,6144,3064,0
